CSCv2_name,CSCv2_RA,CSCv2_DEC,CSCv2_PU,CSCv2_S/N,Fs,e_Fs,Fm,e_Fm,Fh,e_Fh,Fb,e_Fb,P_intra,P_inter,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,Plx,e_Plx,PM,rgeo,b_rgeo,B_rgeo,P_AGN,P_CV,P_HM-STAR,P_HMXB,P_LM-STAR,P_LMXB,P_NS,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_HMXB,e_P_LM-STAR,e_P_LMXB,e_P_NS,e_P_YSO,Class,Class_prob,e_Class_prob,CT,CSCv2_flags,Catalog_name,True_Class,Class_ref
2CXO J053520.3-053039,83.8345955,-5.5109455,0.71,59.48,6.6e-15,2e-16,6.9e-15,2e-16,1.08e-14,6e-16,2.44e-14,7e-16,1.0,1.0,14.48,0.02,15.63,0.1,13.63,0.1,11.62,0.02,10.71,0.03,10.16,0.02,8.81,0.02,8.29,0.03,3.9,0.2,2.46,0.05,2.044,403.0,395.0,410.0,0.002,0.003,0.01,0.001,0.004,0.001,0.0,0.98,0.005,0.006,0.01,0.003,0.007,0.004,0.0003,0.02,YSO,0.98,0.02,33.137,extent|conf,V* MY Ori,YSO,2012AJ....144..192M
2CXO J053520.4-051713,83.8350444,-5.2872202,0.72,50.82,2.6e-15,2e-16,8.9e-15,3e-16,1.94e-14,8e-16,3.09e-14,8e-16,1.0,1.0,16.241,0.006,18.33,0.05,14.8,0.02,12.14,0.02,10.8,0.03,10.07,0.02,9.458,0.0007,8.903,0.001,,,2.3,0.2,1.837,431.0,395.0,476.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.999,0.0003,0.0003,0.003,0.0004,0.002,0.0003,0.0,0.004,YSO,0.999,0.004,151.569,extent|conf,V* V2367 Ori,YSO,2012AJ....144..192M
2CXO J053520.4-052329,83.8352772,-5.3916,0.72,93.78,7.9e-15,2e-16,1.27e-14,3e-16,2.33e-14,8e-16,4.39e-14,9e-16,1.0,1.0,14.632,0.006,13.78,0.01,12.546,0.009,11.16,,9.92,0.03,9.31,0.02,,,,,,,2.44,0.07,1.163,402.0,389.0,415.0,0.0,0.002,0.01,0.001,0.003,0.006,0.0,0.98,0.0006,0.005,0.01,0.003,0.006,0.008,0.0006,0.02,YSO,0.98,0.02,35.16,extent,V* V1520 Ori A,YSO,2012AJ....144..192M
2CXO J053520.5-052420,83.8355805,-5.4057678,0.73,6.54,7e-17,2e-17,1.8e-16,4e-17,2.4e-16,7e-17,4.9e-16,8e-17,1.0,0.917,16.74,0.02,13.16,0.03,12.391,0.006,12.69,,11.76,0.06,11.11,0.03,,,,,,,2.8,0.2,0.673,361.0,333.0,385.0,0.001,0.001,0.06,0.002,0.02,0.004,0.0001,0.91,0.004,0.003,0.03,0.005,0.02,0.008,0.001,0.04,YSO,0.91,0.04,13.008,,2MASS J05352054-0524208,YSO,2012AJ....144..192M
2CXO J053520.5-052042,83.8356867,-5.3452733,0.71,40.96,3.1e-15,2e-16,5.1e-15,2e-16,6.4e-15,4e-16,1.47e-14,5e-16,1.0,1.0,16.726,0.007,16.6,0.3,14.69,0.1,12.55,0.02,11.33,0.03,10.77,0.03,,,,,,,2.45,0.1,2.901,400.0,384.0,414.0,0.0,0.0001,0.001,0.0,0.002,0.0,0.0,0.997,0.0,0.0007,0.002,0.0003,0.005,0.002,0.0,0.007,YSO,0.997,0.007,82.978,extent,V* V1521 Ori,YSO,2012AJ....144..192M
2CXO J053520.6-052446,83.835932,-5.4128595,0.71,51.98,4.3e-16,6e-17,5.2e-15,2e-16,2.3e-14,8e-16,2.86e-14,8e-16,0.999,1.0,15.67,0.02,13.14,0.04,12.2,0.01,11.53,0.07,10.3,0.06,9.42,0.05,,,,,,,2.59,0.08,2.269,376.0,366.0,388.0,0.001,0.0,0.01,0.003,0.005,0.002,0.0,0.98,0.003,0.002,0.01,0.006,0.008,0.004,0.0004,0.02,YSO,0.98,0.02,31.128,extent,2MASS J05352062-0524464,YSO,2012AJ....144..192M
2CXO J053520.6-044949,83.8359615,-4.8304561,0.84,3.06,1.3e-15,5e-16,2e-16,2e-16,9e-16,8e-16,2.4e-15,9e-16,0.581,,18.264,0.005,18.6,0.2,16.75,0.04,14.37,0.02,13.75,0.04,13.35,0.03,12.6,0.004,,,,,3.0,0.2,1.04,324.0,299.0,355.0,0.002,0.03,0.04,0.01,0.3,0.04,0.002,0.6,0.005,0.02,0.06,0.02,0.1,0.04,0.008,0.1,YSO,0.6,0.1,1.11,,2MASS J05352064-0449495,YSO,2012AJ....144..192M
2CXO J053520.6-052245,83.8359727,-5.3792645,0.71,41.69,5.3e-16,7e-17,1.9e-15,1e-16,6.7e-15,4e-16,9.2e-15,4e-16,1.0,1.0,17.98,0.02,14.9,0.09,13.8,0.01,13.9,,12.17,0.03,11.47,0.02,,,,,,,2.5,0.2,3.113,423.0,375.0,472.0,0.0001,0.002,0.02,0.003,0.002,0.03,0.0,0.94,0.0008,0.005,0.02,0.005,0.005,0.02,0.002,0.03,YSO,0.94,0.03,20.135,extent,2MASS J05352063-0522455,YSO,2012AJ....144..192M
2CXO J053520.7-051926,83.8363491,-5.3239421,0.87,4.22,2e-16,1e-16,7e-17,3e-17,3.3e-16,9e-17,6e-16,2e-16,,0.658,,,,,,,16.05,,14.9,0.1,11.99,0.04,,,,,,,,,,,,,0.02,0.02,0.1,0.004,0.22,0.05,0.04,0.6,0.02,0.02,0.04,0.007,0.08,0.03,0.02,0.1,YSO,0.6,0.1,1.878,,[AD95] 1362,YSO,2012AJ....144..192M
2CXO J053520.7-052615,83.8363634,-5.4377205,0.74,7.83,3.3e-16,5e-17,2.1e-16,4e-17,1.9e-16,6e-17,7.4e-16,9e-17,0.844,0.945,17.506,0.007,14.73,0.02,14.017,0.006,13.71,0.02,12.79,0.03,12.34,0.02,,,,,,,2.6,0.2,1.887,376.0,354.0,413.0,0.0001,0.001,0.01,0.0,0.02,0.0,0.0,0.97,0.0008,0.004,0.01,0.001,0.02,0.001,0.0,0.03,YSO,0.97,0.03,20.65,,2MASS J05352072-0526157,YSO,2012AJ....144..192M
2CXO J053520.7-052154,83.8365163,-5.3652409,0.71,38.64,2.7e-15,1e-16,4.6e-15,2e-16,2.3e-15,2e-16,9.6e-15,3e-16,1.0,1.0,14.941,0.005,13.67,0.02,12.511,0.005,11.41,0.08,10.39,0.07,9.67,0.06,,,,,,,2.47,0.05,0.628,398.0,391.0,405.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.98,0.001,0.002,0.01,0.002,0.01,0.0005,0.0,0.02,YSO,0.98,0.02,28.424,,Parenago  1958,YSO,2012AJ....144..192M
2CXO J053520.8-052121,83.8368174,-5.3559088,0.71,14.05,2.3e-16,4e-17,8.9e-16,8e-17,1.3e-15,2e-16,2.4e-15,2e-16,1.0,1.0,18.048,0.009,15.1,0.1,13.85,0.09,12.44,0.06,11.48,0.06,10.62,0.05,,,,,,,2.1,0.6,4.859,737.0,494.0,1257.0,0.0,0.0001,0.01,0.0,0.003,0.001,0.0,0.98,0.001,0.0008,0.02,0.002,0.007,0.003,0.0,0.03,YSO,0.98,0.03,18.637,extent|conf,V* V2372 Ori,YSO,2012AJ....144..192M
2CXO J053520.9-052150,83.8371714,-5.3640691,0.71,53.14,1.4e-15,1e-16,2.4e-15,1e-16,3.3e-15,3e-16,7.1e-15,4e-16,1.0,1.0,14.806,0.005,13.77,0.03,12.623,0.009,11.64,0.07,10.6,0.06,9.92,0.04,,,,,,,2.49,0.05,2.12,394.0,387.0,401.0,0.0,0.0,0.0,0.0,0.001,0.0001,0.0,0.99,0.0003,0.0006,0.01,0.0003,0.004,0.0007,0.0,0.01,YSO,0.99,0.01,40.129,,Parenago  1957,YSO,2012AJ....144..192M
2CXO J053520.9-052042,83.8374888,-5.3452703,0.71,25.66,1.4e-16,4e-17,8.5e-16,9e-17,6.1e-15,4e-16,7.1e-15,4e-16,1.0,1.0,,,,,,,16.1,0.2,13.55,0.08,12.0,0.02,,,,,,,,,,,,,0.01,0.001,0.002,0.0,0.004,0.001,0.001,0.99,0.02,0.003,0.005,0.002,0.006,0.003,0.003,0.02,YSO,0.99,0.02,24.267,,V* V2373 Ori,YSO,2012AJ....144..192M
2CXO J053521.0-053121,83.837511,-5.5226921,0.72,69.36,2.19e-14,5e-16,1.2e-14,3e-16,1.87e-14,8e-16,5.26e-14,1e-15,1.0,1.0,14.27,0.006,15.1,0.02,13.24,0.01,11.57,0.02,10.62,0.03,10.03,0.02,9.07,0.02,8.75,0.02,5.17,0.02,2.61,0.04,2.046,376.0,372.0,380.0,0.001,0.001,0.002,0.0,0.005,0.0001,0.0,0.99,0.003,0.004,0.005,0.001,0.009,0.0008,0.0,0.01,YSO,0.99,0.01,48.428,extent|conf,V* MZ Ori,YSO,2012AJ....144..192M
2CXO J053521.0-052809,83.8376706,-5.4692189,0.72,23.77,1.3e-15,1e-16,1.6e-15,1e-16,2.9e-15,3e-16,5.7e-15,3e-16,1.0,1.0,15.265,0.003,16.4,0.1,14.08,0.03,12.15,0.02,11.07,0.03,10.61,0.02,,,,,,,2.47,0.05,2.288,397.0,390.0,405.0,0.0,0.003,0.06,0.0,0.02,0.001,0.0,0.92,0.001,0.006,0.03,0.002,0.02,0.003,0.0003,0.04,YSO,0.92,0.04,11.953,extent,V* V1522 Ori,YSO,2012AJ....144..192M
2CXO J053521.1-052556,83.838161,-5.4324491,0.72,19.26,6e-17,2e-17,1e-16,3e-17,7.8e-15,5e-16,8e-15,5e-16,1.0,1.0,15.24,0.02,14.7,0.1,13.44,0.05,12.02,0.02,10.75,0.03,9.92,0.02,,,,,,,2.41,0.06,2.853,408.0,399.0,418.0,0.002,0.001,0.04,0.03,0.01,0.001,0.0,0.92,0.005,0.004,0.02,0.03,0.02,0.003,0.001,0.04,YSO,0.92,0.04,12.528,,V* V1339 Ori,YSO,2012AJ....144..192M
2CXO J053521.3-052345,83.8390165,-5.3959024,0.71,70.89,9.5e-15,3e-16,1.39e-14,3e-16,2.49e-14,8e-16,4.83e-14,9e-16,1.0,1.0,14.643,0.007,13.37,0.01,12.467,0.008,11.33,,10.72,0.05,10.14,0.03,,,,,,,2.69,0.06,2.679,368.0,360.0,377.0,0.0001,0.005,0.01,0.002,0.009,0.02,0.0001,0.96,0.0009,0.007,0.01,0.004,0.01,0.01,0.0009,0.02,YSO,0.96,0.02,27.517,extent,V* V1524 Ori A,YSO,2012AJ....144..192M
2CXO J053521.4-052316,83.8395621,-5.387925,0.71,20.65,5.8e-16,7e-17,1.12e-15,9e-17,1.5e-15,2e-16,3.2e-15,2e-16,0.977,1.0,16.928,0.006,14.42,0.06,13.411,0.006,12.29,,11.29,0.07,10.71,0.05,,,,,,,2.7,0.1,1.641,359.0,342.0,376.0,0.0,0.002,0.04,0.001,0.006,0.01,0.0,0.95,0.002,0.004,0.02,0.003,0.008,0.01,0.0005,0.03,YSO,0.95,0.03,18.59,,2MASS J05352149-0523165,YSO,2012AJ....144..192M
2CXO J053521.5-045045,83.8395966,-4.8459364,0.71,30.36,8.8e-14,4e-15,4.3e-14,2e-15,5.4e-14,5e-15,1.85e-13,7e-15,0.992,,11.873,0.006,12.52,0.02,11.04,0.02,9.86,0.02,9.18,0.03,8.94,0.02,8.53,0.02,8.22,0.02,4.87,0.02,2.58,0.02,1.489,384.0,381.0,387.0,0.001,0.06,0.02,0.01,0.17,0.003,0.0,0.74,0.003,0.03,0.02,0.01,0.08,0.005,0.0004,0.09,YSO,0.74,0.09,3.475,,V* MW Ori,YSO,2012AJ....144..192M
2CXO J053521.5-052105,83.8397919,-5.351486,0.71,24.55,2e-16,4e-17,1.5e-15,1e-16,7.4e-15,4e-16,9.1e-15,5e-16,1.0,1.0,18.02,0.02,15.0,0.1,14.18,0.09,13.8,0.04,12.01,0.03,10.86,0.03,,,,,,,3.3,0.5,1.092,336.0,281.0,410.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.997,0.001,0.0006,0.003,0.001,0.003,0.001,0.0003,0.005,YSO,0.997,0.005,112.668,extent,V* V2376 Ori,YSO,2012AJ....144..192M
2CXO J053521.6-051516,83.8400803,-5.2546043,0.91,9.43,1.9e-16,6e-17,6.4e-16,9e-17,1e-15,2e-16,1.8e-15,3e-16,0.912,0.997,,,,,,,16.37,0.1,14.26,0.04,13.07,0.02,,,,,,,,,,,,,0.01,0.002,0.003,0.0,0.01,0.003,0.004,0.97,0.02,0.005,0.005,0.002,0.01,0.005,0.007,0.03,YSO,0.97,0.03,19.202,,2MASS J05352162-0515171,YSO,2012AJ....144..192M
2CXO J053521.6-052714,83.8401486,-5.4540562,0.76,6.15,1.2e-16,3e-17,7e-17,2e-17,2.6e-16,8e-17,4.5e-16,9e-17,1.0,0.964,18.352,0.01,15.4,0.1,14.499,0.008,14.68,0.03,13.53,0.04,12.76,0.02,,,,,,,2.4,0.3,2.061,420.0,384.0,477.0,0.0,0.004,0.01,0.0,0.02,0.001,0.0,0.96,0.001,0.008,0.01,0.001,0.03,0.004,0.0004,0.04,YSO,0.96,0.04,13.561,,V* V2379 Ori,YSO,2012AJ....144..192M
2CXO J053521.6-051716,83.8402469,-5.2880445,0.76,7.11,6e-17,2e-17,2.5e-16,6e-17,1.2e-15,3e-16,1.5e-15,3e-16,0.974,0.999,19.14,0.01,,,,,13.24,0.03,11.77,0.04,10.54,0.03,8.69,0.02,8.253,0.009,,,2.7,0.3,2.16,376.0,329.0,434.0,0.07,0.002,0.11,0.004,0.02,0.004,0.0,0.78,0.03,0.005,0.04,0.007,0.02,0.007,0.001,0.06,YSO,0.78,0.06,6.314,extent|conf,[H97b] 20403,YSO,2012AJ....144..192M
2CXO J053521.6-052146,83.840313,-5.3630131,0.71,89.63,6.3e-15,2e-16,1.92e-14,4e-16,6e-14,1e-15,8.5e-14,1e-15,1.0,1.0,16.13,0.01,14.8,0.1,13.54,0.06,12.21,0.04,10.74,0.05,9.77,0.04,,,,,,,3.8,0.5,6.857,280.0,241.0,319.0,0.0,0.001,0.001,0.0,0.003,0.003,0.0,0.991,0.0,0.003,0.003,0.002,0.006,0.006,0.0003,0.01,YSO,0.991,0.01,61.123,extent,V* V2380 Ori,YSO,2012AJ....144..192M
2CXO J053521.7-052644,83.840533,-5.445637,0.72,19.35,1.4e-15,1e-16,7.9e-16,8e-17,5e-16,1e-16,2.7e-15,2e-16,1.0,1.0,16.1,0.007,15.3,0.1,14.15,0.08,12.82,0.05,11.95,0.04,11.47,0.03,,,,,,,2.61,0.07,2.337,373.0,364.0,383.0,0.0,0.001,0.01,0.0,0.01,0.0,0.0,0.98,0.0005,0.003,0.01,0.0006,0.02,0.001,0.0,0.02,YSO,0.98,0.02,23.666,extent,V* V1282 Ori,YSO,2012AJ....144..192M
2CXO J053521.7-051946,83.8405687,-5.329477,0.71,61.37,1e-16,3e-17,2.1e-15,1e-16,5.3e-14,1e-15,5.5e-14,1e-15,1.0,1.0,,,,,,,15.5,,14.01,0.05,11.91,0.04,,,,,,,,,,,,,0.08,0.01,0.03,0.02,0.0,0.001,0.01,0.85,0.06,0.01,0.03,0.02,0.001,0.004,0.02,0.08,YSO,0.85,0.08,5.429,,V* V2381 Ori,YSO,2012AJ....144..192M
2CXO J053521.7-052339,83.8406838,-5.3942008,0.71,15.94,8e-17,2e-17,6.8e-16,7e-17,2.9e-15,3e-16,3.7e-15,3e-16,1.0,1.0,16.46,0.01,13.7,0.02,13.0,0.007,12.75,,11.48,0.04,10.79,0.04,,,,,,,2.4,0.1,0.149,401.0,386.0,418.0,0.001,0.001,0.02,0.006,0.002,0.01,0.0,0.95,0.006,0.003,0.02,0.009,0.006,0.01,0.002,0.03,YSO,0.95,0.03,21.466,extent,V* V2383 Ori,YSO,2012AJ....144..192M
2CXO J053521.7-052310,83.8407883,-5.3862516,0.71,16.34,4e-16,6e-17,7.5e-16,8e-17,8e-16,1e-16,1.9e-15,2e-16,1.0,1.0,16.517,0.005,14.67,0.07,13.425,0.007,12.01,,11.04,0.07,10.45,0.07,,,,,,,2.48,0.09,1.625,397.0,381.0,412.0,0.0,0.001,0.03,0.001,0.006,0.004,0.0,0.96,0.002,0.003,0.02,0.003,0.009,0.007,0.0006,0.03,YSO,0.96,0.03,18.396,,2MASS J05352178-0523106,YSO,2012AJ....144..192M
2CXO J053521.8-052353,83.8408418,-5.3982466,0.71,34.11,1.7e-15,1e-16,3.6e-15,2e-16,6.1e-15,4e-16,1.14e-14,4e-16,1.0,1.0,12.661,0.008,12.63,0.02,11.42,0.02,10.36,0.04,9.71,0.04,9.38,0.03,,,,,,,2.59,0.02,1.938,386.0,382.0,389.0,0.0,0.006,0.5,0.005,0.01,0.01,0.0,0.4,0.0003,0.01,0.1,0.008,0.01,0.01,0.0003,0.1,HM-STAR,0.5,0.1,0.266,extent|conf,V* V494 Ori,YSO,2012AJ....144..192M
2CXO J053521.8-052007,83.8408872,-5.3354251,0.74,9.74,4e-17,1e-17,2.9e-16,5e-17,2e-15,2e-16,2.3e-15,3e-16,0.998,0.964,,,,,,,15.46,,15.21,0.1,13.65,0.03,,,,,,,,,,,,,0.02,0.004,0.01,0.002,0.002,0.01,0.007,0.94,0.03,0.006,0.01,0.004,0.004,0.01,0.009,0.04,YSO,0.94,0.04,13.628,,2MASS J05352181-0520078,YSO,2012AJ....144..192M
2CXO J053521.8-045407,83.8412084,-4.9020503,0.97,11.46,1.4e-14,2e-15,5.4e-15,9e-16,8e-15,2e-15,2.8e-14,3e-15,0.75,,14.2,0.005,15.06,0.02,13.13,0.01,11.82,0.02,11.04,0.03,10.68,0.02,10.28,0.03,10.22,0.03,8.16,,2.34,0.04,2.228,420.0,413.0,428.0,0.0,0.03,0.01,0.004,0.23,0.002,0.0,0.7,0.002,0.02,0.01,0.008,0.1,0.005,0.001,0.1,YSO,0.7,0.1,2.55,,V* V414 Ori,YSO,2012AJ....144..192M
2CXO J053521.9-051500,83.8413506,-5.2501673,0.72,53.93,5.1e-15,2e-16,1.2e-14,3e-16,1.85e-14,8e-16,3.57e-14,9e-16,1.0,1.0,17.404,0.006,17.6,0.1,15.61,0.03,12.74,0.02,11.54,0.03,11.05,0.02,,,,,,,2.3,0.2,2.31,433.0,395.0,487.0,0.0,0.0,0.001,0.0,0.01,0.006,0.0,0.98,0.0006,0.002,0.003,0.002,0.02,0.009,0.0,0.02,YSO,0.98,0.02,26.365,extent|conf,V* V1281 Ori,YSO,2012AJ....144..192M
2CXO J053522.1-051857,83.842088,-5.3159341,0.73,14.38,6e-17,2e-17,1.9e-16,4e-17,3.3e-15,3e-16,3.6e-15,3e-16,0.998,1.0,,,,,,,16.17,,15.46,,13.85,0.03,,,,,,,,,,,,,0.04,0.005,0.0,0.001,0.001,0.02,0.09,0.84,0.05,0.008,0.01,0.004,0.005,0.02,0.04,0.07,YSO,0.84,0.07,6.219,,2MASS J05352210-0518577,YSO,2012AJ....144..192M
2CXO J053522.1-052233,83.8421741,-5.3760795,0.71,22.49,5e-17,2e-17,5.5e-16,7e-17,5e-16,1e-16,1.1e-15,1e-16,1.0,1.0,17.439,0.006,15.52,0.07,14.44,0.06,13.09,0.04,11.61,0.03,10.83,0.04,,,,,,,2.4,0.1,2.55,420.0,392.0,448.0,0.002,0.0,0.01,0.001,0.004,0.0001,0.0,0.98,0.005,0.0003,0.01,0.003,0.009,0.0009,0.0006,0.02,YSO,0.98,0.02,28.819,,2MASS J05352211-0522340,YSO,2012AJ....144..192M
2CXO J053522.1-052424,83.8424358,-5.4068538,0.71,59.81,4.9e-15,2e-16,1.16e-14,3e-16,2.39e-14,8e-16,4.03e-14,8e-16,1.0,1.0,13.192,0.005,12.59,0.01,11.432,0.006,10.52,0.06,9.71,0.06,9.22,0.05,,,,,,,2.51,0.04,2.265,393.0,388.0,400.0,0.0001,0.005,0.11,0.007,0.01,0.005,0.0,0.86,0.0009,0.007,0.08,0.009,0.01,0.008,0.0004,0.09,YSO,0.86,0.09,4.34,extent,V* V562 Ori,YSO,2012AJ....144..192M
2CXO J053522.2-051808,83.8426391,-5.3023005,0.78,7.54,6.2e-16,1e-16,4.7e-16,8e-17,4e-16,1e-16,1.5e-15,2e-16,0.969,0.509,17.55,0.01,17.3,0.2,15.87,0.01,13.28,0.03,12.51,0.03,12.01,0.03,,,,,,,,,,,,,0.0,0.001,0.03,0.0,0.02,0.001,0.0,0.95,0.0003,0.004,0.03,0.001,0.02,0.004,0.0,0.04,YSO,0.95,0.04,13.946,conf,2MASS J05352225-0518087,YSO,2012AJ....144..192M
2CXO J053522.2-053117,83.8429002,-5.521449,0.98,11.72,6.8e-16,9e-17,2.8e-16,5e-17,1.1e-15,2e-16,2.1e-15,3e-16,1.0,1.0,17.01,0.005,18.83,0.09,15.53,0.02,13.16,0.02,12.42,0.03,12.01,0.02,10.73,0.03,10.25,0.03,5.45,0.03,2.5,0.1,1.818,398.0,381.0,417.0,0.002,0.12,0.05,0.002,0.06,0.003,0.0001,0.77,0.005,0.06,0.03,0.005,0.04,0.007,0.0009,0.08,YSO,0.77,0.08,4.846,conf,V* V2386 Ori,YSO,2012AJ....144..192M
2CXO J053522.3-044207,83.8429688,-4.7020609,0.76,22.62,4.5e-14,3e-15,2.7e-14,2e-15,2.9e-14,4e-15,1.01e-13,5e-15,0.377,,14.167,0.006,15.16,0.02,13.15,0.01,11.26,0.02,10.45,0.04,10.14,0.02,9.27,0.02,9.12,0.02,6.7,0.05,2.47,0.02,1.515,398.0,395.0,401.0,0.005,0.01,0.005,0.005,0.08,0.002,0.0001,0.89,0.007,0.01,0.008,0.008,0.06,0.004,0.0009,0.07,YSO,0.89,0.07,6.043,extent,V* CD Ori,YSO,2012AJ....144..192M
2CXO J053522.3-052414,83.8430019,-5.4039062,0.71,24.99,5e-17,2e-17,9.5e-16,9e-17,5.6e-15,4e-16,6.6e-15,4e-16,0.998,1.0,14.86,0.03,12.72,0.02,11.97,0.04,11.35,0.07,10.45,0.06,9.61,0.05,,,,,,,2.49,0.06,1.643,393.0,383.0,404.0,0.003,0.001,0.08,0.02,0.007,0.005,0.0,0.89,0.007,0.004,0.05,0.02,0.01,0.009,0.001,0.07,YSO,0.89,0.07,6.921,conf,V* V1231 Ori,YSO,2012AJ....144..192M
2CXO J053522.3-052728,83.8432516,-5.457866,0.72,33.83,1.19e-15,1e-16,2e-15,1e-16,2.9e-15,3e-16,6.1e-15,3e-16,1.0,1.0,16.24,0.01,16.7,0.2,14.45,0.05,12.38,0.02,11.36,0.03,10.69,0.02,10.592,0.002,9.655,0.002,,,2.57,0.08,1.423,379.0,369.0,392.0,0.0,0.0,0.004,0.0,0.001,0.0,0.0,0.995,0.0005,0.0004,0.007,0.0003,0.003,0.0005,0.0,0.008,YSO,0.995,0.008,64.676,extent,V* V1340 Ori,YSO,2012AJ....144..192M
2CXO J053522.4-052200,83.8435235,-5.366909,0.71,61.6,4.9e-15,2e-16,1.22e-14,3e-16,2.59e-14,8e-16,4.3e-14,9e-16,1.0,1.0,15.373,0.007,14.86,0.06,13.48,0.04,11.84,0.03,10.7,0.05,10.05,0.04,,,,,,,2.41,0.05,2.263,406.0,399.0,415.0,0.0,0.0,0.001,0.0,0.001,0.0001,0.0,0.999,0.0,0.0005,0.003,0.0004,0.003,0.0008,0.0,0.004,YSO,0.999,0.004,139.733,,V* V2388 Ori,YSO,2012AJ....144..192M
2CXO J053522.4-052544,83.8436261,-5.4291642,0.72,8.81,2.8e-16,5e-17,1.6e-16,3e-17,2.9e-16,8e-17,7e-16,1e-16,0.997,0.997,16.416,0.007,14.39,0.09,13.348,0.006,12.78,0.09,11.91,0.09,11.22,0.07,,,,,,,2.47,0.09,0.833,397.0,382.0,411.0,0.0,0.002,0.03,0.0,0.04,0.001,0.0,0.93,0.0,0.005,0.03,0.002,0.04,0.004,0.0003,0.06,YSO,0.93,0.06,9.133,,V* V2389 Ori,YSO,2012AJ....144..192M
2CXO J053522.5-045237,83.8438173,-4.8769596,0.88,5.94,2.5e-15,7e-16,2.2e-15,6e-16,4e-15,1e-15,8e-15,2e-15,0.753,,16.092,0.005,17.71,0.04,14.74,0.01,12.29,0.02,11.21,0.03,10.68,0.02,9.87,0.02,9.19,0.03,6.58,0.04,2.5,0.07,1.787,391.0,382.0,401.0,0.001,0.0,0.01,0.0,0.01,0.0,0.0,0.98,0.003,0.002,0.03,0.003,0.01,0.001,0.0003,0.03,YSO,0.98,0.03,16.044,,V* V2390 Ori,YSO,2012AJ....144..192M
2CXO J053522.6-051410,83.8442079,-5.2363083,0.9,25.29,4.8e-15,3e-16,3.2e-15,2e-16,2.6e-15,6e-16,1.06e-14,7e-16,0.997,0.014,15.212,0.003,16.65,0.03,13.892,0.006,11.65,0.02,10.72,0.03,10.29,0.02,9.05,0.02,9.11,0.01,,,2.49,0.06,2.04,395.0,387.0,402.0,0.0,0.002,0.03,0.001,0.02,0.0,0.0,0.95,0.002,0.005,0.02,0.002,0.02,0.001,0.0003,0.03,YSO,0.95,0.03,19.367,conf,2MASS J05352262-0514112,YSO,2012AJ....144..192M
2CXO J053522.6-051508,83.8444281,-5.2522596,0.74,19.62,1.7e-15,2e-16,1.4e-15,1e-16,3.3e-15,6e-16,6.4e-15,6e-16,1.0,0.995,17.834,0.005,17.6,0.1,16.05,0.06,13.37,0.02,12.42,0.03,11.92,0.02,,,,,,,2.5,0.1,2.365,388.0,369.0,408.0,0.0,0.001,0.002,0.0,0.01,0.004,0.0,0.99,0.0,0.002,0.005,0.001,0.01,0.007,0.0003,0.02,YSO,0.99,0.02,37.633,extent|conf,V* V1341 Ori,YSO,2012AJ....144..192M
2CXO J053522.7-051947,83.8447382,-5.3298753,0.71,50.71,3.1e-16,8e-17,5.9e-15,3e-16,2.76e-14,8e-16,3.38e-14,9e-16,1.0,1.0,,,,,,,14.45,0.09,12.29,0.07,11.02,0.04,,,,,,,,,,,,,0.05,0.002,0.005,0.001,0.003,0.004,0.003,0.93,0.05,0.005,0.01,0.003,0.006,0.007,0.007,0.05,YSO,0.93,0.05,8.737,extent|conf,2MASS J05352274-0519478,YSO,2012AJ....144..192M
2CXO J053522.7-044829,83.8449422,-4.8082956,0.72,15.33,3.2e-14,3e-15,9e-15,1e-15,6e-15,2e-15,4.7e-14,3e-15,0.768,,14.67,0.006,15.83,0.01,13.55,0.01,11.86,0.02,11.05,0.03,10.74,0.02,10.12,0.02,9.62,0.02,7.34,0.05,2.4,0.2,0.609,422.0,391.0,453.0,0.004,0.03,0.001,0.001,0.09,0.0,0.0,0.88,0.007,0.03,0.004,0.003,0.04,0.002,0.001,0.06,YSO,0.88,0.06,7.84,,V* V2394 Ori,YSO,2012AJ....144..192M
2CXO J053522.7-052313,83.8449725,-5.3870029,0.71,56.41,1.19e-15,9e-17,6.9e-15,2e-16,2.16e-14,7e-16,2.97e-14,8e-16,1.0,1.0,16.14,0.01,14.92,0.01,13.87,0.02,12.07,0.02,10.38,0.03,9.31,0.02,,,,,,,2.46,0.07,1.853,399.0,387.0,412.0,0.0,0.0,0.001,0.0001,0.001,0.0,0.0,0.999,0.0006,0.0003,0.003,0.0008,0.002,0.0004,0.0004,0.004,YSO,0.999,0.004,154.256,extent,V* V2395 Ori,YSO,2012AJ....144..192M
